company,review_date,rating,clean_text,sentiment
Shell,2025-04-21,5.0,"team work / challenges transparency / fast paced / goal driven with games and tea hangout. unlimited health benefits / sick leaves / 20 planned leaves / 10 carry overs from past year allowed /. slow promotions / huge jg salary difference / poor consequence management. the culture is quite refreshing / everyone is quite supportive and respectful / encouragement of on job learning rather then hiring fully experienced personal to handel operation excellently without mistakes / management system driven company providing better place for employees to be inovative / goal driven company which takes hsse / quality / customer exp. extremely serious / gaming rooms are the most fun also away days, spcs",positive
Shell,2025-04-22,2.0,"not like it used to be. 30 days holiday. bad management. i joined the company almost 19 years ago and things were great then. now the culture has changed, leadership is lazy and decisions are poorly made. i used to enjoy going to work but has been more of a chore in the past few years.",negative
Shell,2025-04-24,1.0,long shifts. shifts were long with rubbish pay. customers just shout at you with no support from managers. wouldn ' t recommend to anyone who likes to have a social life.,negative
Shell,2025-04-25,5.0,really enjoyed working with the team and leadership at the company. really enjoyed working with the team and leadership at the company. the collaborative environment and supportive management made it a great place to grow professionally and contribute meaningfully.,positive
Shell,2025-04-26,5.0,educational. what is the best part of working at the company? interact with people in a daily base. costomer caee also duties allined for a day iy makes alot of difference to our costomers also attendants what is the most stressful part about working at the company? when uyou start making mistakes what is a typical day like for you at the company? when its a price increase day where ppl will come in numbers to fill so they wont be effected by the price,positive
Shell,2025-04-27,5.0,productive and fun work placr. good company to work for and staff are the best the work was easy and the pay was great. i wish they were still in business. the safety meetings were interesting.,positive
Shell,2025-04-29,1.0,"not a nice company to work for. staff discount. long hours, little reward, unprofessional management. unprofessional management team. unreasonable demands on their staff. favouritism for certain staff members. unrealistic expectations, meaning the staff pay the price in the end. the management rule by fear factor.",negative
Shell,2025-04-29,2.0,"good pay but they work you to death. this place sucked, the only time off i was allowed to take was when i had covid. but it payed well at least. i got a christmas bonus and recieved an attendance bonus, but my management was garbage.",negative
Shell,2025-04-29,4.0,"productive. management is very good very nice and easy to talk to working at shell has been a rewarding and enriching experience. the company places a strong emphasis on safety, sustainability, and innovation, and these values are reflected in everyday operations. pros : professional growth : shell invests heavily in employee development through structured training programs, global mobility opportunities, and access to cutting - edge projects.",positive
Shell,2025-05-02,5.0,"flexible shifts, fun people work with, locals are nice. summer has been great while i was there, nice weather and cold breeze in the evening, people are nice in the store or pumps, lots of activities in the summer like car shows, bike shows, and fireworks.",positive
Shell,2025-05-09,1.0,horrible. horrible place to work horrible management horrible pay they don t care about your life or what you have going on and will lie to better themselves!!!,negative
Shell,2025-05-12,4.0,super friendly managers. manegers are always making sure everything is done proper but will support you in the process i would say that this has been the best job ive had for sure,positive
Shell,2025-05-13,4.0,excellent work place. great place to start a career. best oil and gas company to get technically grounded. remuneration is very competitive. work life balance is what you make out of it even though the company advocates a good work life balance.,positive
Shell,2025-05-14,5.0,fun and chill. nice place to work. very chill. management is very nice and friendly. work here if you are looking for a chill job that you can breeze through with no stress,positive
Shell,2025-05-18,3.0,"nice environment. nice management, sometimes a bit rough communication but very nice people. lot of restructuring though, which may leave people in positions they would not want to be in",neutral
Shell,2025-05-29,4.0,fun and challenging. weekly meeting. drills. one of the most fun and enjoyable work i experienced. you will be challenged due to night shift but we still have lots of customers and you will see the team strive hard to make no mistakes.,positive
Shell,2025-05-29,5.0,"productive and fun workplace, ok leadership. i enjoyed my time working here at shell. leadership was great. coworkers were ok some were lazy some were smart. overall it was pretty good. i worked on interesting things. thanks,",positive
Shell,2025-05-30,3.0,"in overall it ' s a nice place to work. what is the best part of working at the company? the best part for working with she ' ll is meet the customers but the bad part for working for she ' ll is the hours are not good plus they pay wages monthly what is the most stressful part about working at the company? the best part for working at she ' ll is meeting the customers and make new friend put the worst part for working with she ' ll is the hours are not good plus they pay the wages monthly. what is the work environment and culture like at the company? the environment is good and the culture is fine you do get some nasty customers now again part from that it ' s a. nice place to work. what is a typical day like for you at the company? my day start at 7am i cleaning and replenish the 3 coffee. machines that ' s putting cups, sugar and milk into the machines then i clean the customers toilet, then go outside and letter pick the forecourt empty the bins plus cleaning the pumps down.",neutral
Shell,2025-06-01,1.0,"unprofessional. overworked and unappreciated. i was working under the table for one, the owner was very much so all over the place, that made for a stressful work place. do this do that, running around crazy.",negative
Shell,2025-06-03,5.0,"productive and busy. what is the best part of working at the company? working with customers and creating a good relationship with them. what is the most stressful part about working at the company? during the rush hour, it get too busy and requires you to pay more attention as you have to deal with forecourt and customers who came in to buy. what is the work environment and culture like at the company? very good environment and the culture of working as a team was just one of the best things to ever happen. what is a typical day like for you at the company? up selling product to customers. taking calls form suppliers assisting customers",positive
Shell,2025-06-04,5.0,"i loved working at california shell gas and liquor, it was my first job and my longest job if i could go back again i would without a thought. i learned how to multitask in a busy or stressful setting, customer service, how to heavens money quickly and efficiently, how to fill propane tanks, take orders, take inventory, stock and many other things while working for shell.",positive
Shell,2025-06-09,5.0,"very good to work. excellent working environment and supportive and kind management. recommend to work for long term for mutual growth and learning, career progression.",positive
Shell,2025-06-09,4.0,was a great job for awhile had no problems whatsoever was honestly a really helpful opportunity for me. pretty laid back pumps gas for the people who want you to / need you to pump propane for everyone fix the pumps if something goes wrong stock the store check ifs if st cashier and selling tobacco nicotine or alcohol count money make sure tills are good handle lottery,positive
Shell,2025-06-15,4.0,lot of room for growth. competitive benefits though basic salary can be higher when compared to national average. i admire how shell care for its employees. hard to find another company with better benefits,positive
Shell,2025-06-15,4.0,"overnight attendant. worked overnight. had a very good boss at my location. employees are friendly and felt very safe. pay is minimum, but it is expected as the work was very simple.",positive
Shell,2025-06-16,1.0,"mid. toxic management, zero support, constant blame game. favoritism rules, hard work ignored, and no real growth. wouldn t recommend this place. mid.",negative
